[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:142 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:145 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:146 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:146 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:146 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:146 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:146 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:146 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:146 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:147 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:148 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:149 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:150 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:151 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:152 Filesystem/(21011:21011): Kernel se desconecto.
